"","Date","COUNTY","Site.Name","LAT","LONG","Month","Year","Ozone","PM2.5"
"250",2018-01-22,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,39
"251",2018-01-22,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,48
"252",2018-01-22,"Wake","Millbrook School",35.856111,-78.574167,1,2018,32,59
"253",2018-01-23,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,10
"254",2018-01-23,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,18.5
"255",2018-01-23,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,13
"256",2018-01-23,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,25
"257",2018-01-23,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,20
"258",2018-01-23,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,19
"259",2018-01-23,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,11
"260",2018-01-23,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,15
"261",2018-01-23,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,36,15.5
"262",2018-01-23,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,8
"263",2018-01-23,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,16
"264",2018-01-23,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,17
"265",2018-01-23,"Wake","Millbrook School",35.856111,-78.574167,1,2018,37,20.5
"266",2018-01-24,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,26
"267",2018-01-24,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,3
"268",2018-01-24,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,16
"269",2018-01-24,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,15
"270",2018-01-24,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,13
"271",2018-01-24,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,15
"272",2018-01-24,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,28,22
"273",2018-01-24,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,7
"274",2018-01-24,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,9
"275",2018-01-24,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,18
"276",2018-01-24,"Wake","Millbrook School",35.856111,-78.574167,1,2018,31,20
"277",2018-01-25,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,43
"278",2018-01-25,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,8
"279",2018-01-25,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,34
"280",2018-01-25,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,34
"281",2018-01-25,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,27
"282",2018-01-25,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,25
"283",2018-01-25,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,31,30
"284",2018-01-25,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,NA,13
"285",2018-01-25,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,NA,13
"286",2018-01-25,"Swain","Bryson City",35.434767,-83.442133,1,2018,NA,26
"287",2018-01-25,"Wake","Millbrook School",35.856111,-78.574167,1,2018,31,35
"288",2018-01-26,"Avery","Linville Falls",35.972347,-81.933072,1,2018,NA,18
"289",2018-01-26,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,NA,46
"290",2018-01-26,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,NA,16
"291",2018-01-26,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,NA,58
"292",2018-01-26,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,NA,57.6666666666667
"293",2018-01-26,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,NA,56
"294",2018-01-26,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,NA,8
"295",2018-01-26,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,NA,35
"296",2018-01-26,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,34,46
